sample,time_s,vout_v,burden_current_a,estimated_primary_current_a,estimated_flux_wb,estimated_ct_secondary_voltage_v,estimated_magnetizing_current_a,chi_square,degrees_of_freedom,confidence,max_abs_normalized_residual,iterations,converged
55,0.01125,0.17575033399999995,-1.7575033399999995,703.2374718693935,-0.0027312338800411133,1.7476421650272151,-0.0011573024915428446,8.260145901910721e-14,6,1.0,2.8740469553961333e-07,3,1
56,0.011458,0.17340396199999997,-1.7340396199999997,693.8997676758638,-0.002374332449640483,1.715872261541493,-0.0010060730718815607,6.864100490673434e-14,6,1.0,2.619942841099754e-07,3,1
57,0.011666,0.17005200200000004,-1.7005200200000004,680.5346884207648,-0.0020259043492169577,1.6751350981900277,-0.0008584340462783718,5.6637322242488864e-14,6,1.0,2.3798597068200003e-07,3,1
58,0.011875,0.16569445399999994,-1.6569445399999994,663.1418136457727,-0.0016863716493380177,1.624558372626501,-0.0007145642581940753,4.605217913321066e-14,6,1.0,2.1459771464755356e-07,3,1
59,0.012083,0.16016372,-1.6016372,641.048440694757,-0.0013617053768816142,1.5608955406557874,-0.0005769938037633959,3.2188054230526314e-14,6,1.0,1.7941029577196018e-07,3,1
60,0.012291,0.15379499600000002,-1.5379499600000002,615.5982091993361,-0.001051549347669522,1.4911347558273673,-0.0004455717574870856,2.2327450342931716e-14,6,1.0,1.4942372750763446e-07,3,1
61,0.0125,0.14642068399999997,-1.4642068399999997,586.1187142210459,-0.000756734805810852,1.410595894060616,-0.0003206503414452763,1.4879506664069982e-14,6,1.0,1.219815832944557e-07,3,1
62,0.012708,0.13804078399999997,-1.3804078399999997,552.6091969383901,-0.0004822773201406111,1.3195071426453897,-0.00020435479666975048,8.394560403093948e-15,6,1.0,9.162183365873911e-08,3,1
63,0.012916,0.128990492,-1.2899049200000001,516.4130404260345,-0.0002276551379682126,1.2241451065980706,-9.64640415119545e-05,4.606458991402406e-15,6,1.0,6.787089944365327e-08,3,1
64,0.013125,0.118934612,-1.18934612,476.18622634033716,5.795774957083827e-06,1.1169900139966382,2.45583684622196e-06,2.3001805808216867e-15,6,1.0,4.796019787849284e-08,3,1
65,0.013333,0.108375938,-1.08375938,433.9432128710622,0.0002153366082033864,1.007407852145686,9.12443255099095e-05,9.690510392976985e-16,6,1.0,3.112958462650337e-08,3,1
66,0.013541,0.09697927399999995,-0.9697927399999995,388.33997581126386,0.00039998150301530274,0.8877158404419061,0.00016948368771834863,3.5228630220834873e-16,6,1.0,1.876929146618121e-08,3,1
67,0.01375,0.08507981600000003,-0.8507981600000003,340.72037263169125,0.000559970183283186,0.7654960778367585,0.00023727550139118048,1.1192094611707354e-16,6,1.0,1.0579269635595851e-08,3,1
68,0.013958,0.07250996600000004,-0.7250996600000004,290.41110638641334,0.0006920242559013166,0.6348753491256287,0.00029323061690733756,2.4110805551375968e-17,6,1.0,4.910275476249156e-09,3,1
69,0.014166,0.05960491999999995,-0.5960491999999995,238.75608055633924,0.0007967320898235503,0.503403047703047,0.00033759834314557217,3.767304763207872e-18,6,1.0,1.9409545789174122e-09,3,1
70,0.014375,0.04636467799999999,-0.4636467799999999,185.7544941181232,0.0008738873732352374,0.3691640354626161,0.00037029125984543957,3.2743322859318007e-19,6,1.0,5.722177720139322e-10,3,1
71,0.014583,0.03278923999999994,-0.3278923999999994,131.40552588888298,0.0009218902880345171,0.23078324422730664,0.00039063147798072765,7.350880793163933e-21,6,1.0,8.573716234552803e-11,2,1
72,0.014791,0.01904620400000001,-0.1904620400000001,76.38120406067566,0.0009410702912081708,0.0922115537194889,0.0003987585979695639,4.8194248780615126e-24,6,1.0,2.185211213655869e-12,2,1
73,0.015,0.005135569999999978,-0.05135569999999978,20.681102484799123,0.000931143594105562,-0.04749615838568816,0.00039455237038371274,5.751936003699172e-26,6,1.0,1.8041124150158794e-13,2,1
74,0.015208,-0.008775064000000055,0.08775064000000055,-35.02379898275263,0.0008922612669997526,-0.1869342649317761,0.00037807680805074267,1.362136055765827e-21,6,1.0,3.690690803032302e-11,2,1
75,0.015416,-0.022518099999999985,0.22518099999999985,-90.06181025633646,0.0008250515278595168,-0.32312374586651865,0.000349598105025219,1.0855646859194946e-19,6,1.0,3.2947881851073503e-10,3,1
76,0.015625,-0.03626113600000003,0.36261136000000027,-145.10494887328474,0.0007289359114446012,-0.4598833321287806,0.000308871148917204,1.899104980470446e-18,6,1.0,1.3780801580606467e-09,3,1
77,0.015833,-0.04983657399999997,0.49836573999999967,-199.4816203118893,0.0006052253720633041,-0.5947622085639289,0.0002564514288403831,1.4303783448416842e-17,6,1.0,3.7820342722180925e-09,3,1
78,0.016041,-0.06290921800000004,0.6290921800000004,-251.84852080940416,0.0004550609264676055,-0.721944449979321,0.00019282242646932436,6.741154046400243e-17,6,1.0,8.210453116788816e-09,3,1
79,0.01625,-0.07581426400000002,0.7581426400000002,-303.5496407103929,0.0002776012378661668,-0.8490894191456362,0.00011762764316363002,2.564454753220148e-16,6,1.0,1.6013915051008675e-08,3,1
80,0.016458,-0.08804891800000003,0.8804891800000003,-352.5695646668572,7.643996907988079e-05,-0.9671214845494528,3.238981740672915e-05,6.991208393480855e-16,6,1.0,2.644089331569461e-08,3,1
81,0.016666,-0.09994837600000006,0.9994837600000006,-400.25213027227835,-0.00014892049622708308,-1.0834637755142502,-6.31019051809674e-05,1.7346791733285469e-15,6,1.0,4.1649479868421345e-08,3,1
82,0.016875,-0.11100984400000002,1.1100984400000002,-444.58183389690555,-0.0003971806943441401,-1.1878478378806507,-0.00016829690438311022,3.7623058813778585e-15,6,1.0,6.133763837278759e-08,3,1
83,0.017083,-0.12156851800000001,1.2156851800000001,-486.9028285995989,-0.0006654815177881216,-1.2899078050191426,-0.0002819836939780176,7.0012141718317595e-15,6,1.0,8.367325840166437e-08,3,1
84,0.017291,-0.13128920200000005,1.3128920200000005,-525.8707692405935,-0.0009527685422259122,-1.3811876174893787,-0.00040371548399403064,1.2098329738333465e-14,6,1.0,1.0999240763904593e-07,3,1
85,0.0175,-0.14017189600000002,1.4017189600000002,-561.4863825681578,-0.0012586735204548215,-1.463660182913436,-0.0005333362374808566,1.999353902625399e-14,6,1.0,1.4139851139896314e-07,3,1
86,0.017708,-0.14838419800000002,1.4838419800000002,-594.4208890383823,-0.0015792186112835007,-1.5410821674455737,-0.0006691604285099579,2.906098712353818e-14,6,1.0,1.7047283397277035e-07,3,1
87,0.017916,-0.15542331399999998,1.5542331399999998,-622.6587507032446,-0.0019126989962815364,-1.6032710817213267,-0.0008104656763904816,3.988041669255663e-14,6,1.0,1.9970081795546303e-07,3,1
